Checkpoint;Opponent;Game Moves;Winner
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 J9 J6 E8 F6 D7 E5 C6 D11 D4 B10 C10 C9 D9 D8 E7 E1 F3 G1 F1 F2 E2 D6 C7 D5 C5 B11 C11 E3 D3;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 J9 J11 K11 E8 B9 B10 I6 H8 J7 J8 I8 H5 I4 I5 K4 J5 K5 J4 K3 J1 K1 K2 J3 J2 H3 H2 I2 I1 G3 G2 F3 F2 E3 E2 D3 D2 C3 C2 B1 B3 A4 B4 A5 B5 A6 B7 B6 C5 C6 B2 A2 C7 D5 I9 H9 G11 H10 D4 E4 J6 K6 H11 F10 I7 I10 H4 I3 I11 G10 F11 E11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 J9 J7 E7 D10 F8 F9 H8 H9 G9 G8 I6 H5 J4 I3 K2 K1 J2 F11 G10 J1 I2 I1 H2 H1 G2 G1 F2 F1 E2 E1 D2 D1 C2 C1 A2 B2 B3 B1 A1 G11 H10 H11 J10 H7 I7 I10 I9 H6 I5 J3 K3 I11 J11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 J9 J8 E8 D11 F6 G4 J3 J2 E5 E4 F4 G2 G3 F3 H2 E9 C10 D9 C9 D8 C8 D6 D7 E6 F5 E7 C6 C7 A8 B8 A9 B9 A10 B7 A7 B6 A6 F7 B5 A11 B10 D5 C5 B4 C4 D3 C3 D1 D2 E1 B2 D10 C11 C2 B3 C1 B1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 I7 I6 K5 E8 B9 B10 J6 J4 D9 D8 C9 C7 A8 B6 J5 I5 K4 K3 B7 C6 C8 D7 B8 A7 F8 F7 H6 H7;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 I7 H9 G8 F9 G9 I6 H7 H6 K5 J6 K6 J4 E8 D9 E9 F6 D7 E5 C6 D4 B5 C3 B4 B1 B3 C2 B2 C1 A2 A1 D5 E4 C4 D3 E6 F5 D6 J5 K4 K3 G6 F7;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 I7 I10 H9 I6 K5 J6 K6 J4 E8 F6 D7 E5 C6 D4 B5 C10 B10 C3 B4 B1 B3 C2 B2 C1 A2 A1 H5 H4 I4 J2 I3 I2 H3 H2 G3 G2 F3 F2 E3 E2 D3 D2 C4 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 I7 J4 H6 H5 F6 E8 B9 B10 G6 G4 E5 E4 F4 H9 J8 I10 K9 J11 D9 C11 E10 D8 C9 C7 A8 B6 H7 G9 G8 F9 F8 E9 I9 H10 J9 D10 J10 I11 K10 K11 C8 C10 A10 A11;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 I7 I9 H9 I6 K5 J6 K6 J4 E8 F6 D7 E5 C6 D4 B5 C10 B10 C3 B4 B1 B3 C2 B2 C1 A2 A1 H5 H4 I4 J2 I3 I2 H3 H2 G3 G2 F3 F2 E3 E2 D3 D2 C4 K2;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 E8 E9 C10 F6 D7 E5 C6 D4 B5 D8 B9 C7 A8 B6 C5 B7 E6 D6 F5 C8 A7 E7 F7 A6 G6 D9 F8 G5 H5 I3 H4 G3 H3 I1 H2 F9 G8 G9 I8 H10 J9 I11 K10 H8 I7 H7 I6 H6 I5 G4 H1 H9 J10 I9 J8 J11 K11;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 E8 F6 D7 E5 C6 D11 D4 B10 C10 C9 D9 D8 E7 E1 F3 G1 F1 F2 E2 D6 C7 D5 C5 B11 C11 E3 D3;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 E8 E7 F7 F6 G6 G5 I4 J1 H5 H3 K1 J3 I3 J2 I2 D11 F9 I1 H2 H1 G2 G1 F2 F1 E2 E1 D2 D1 C2 C1 A2 B2 B3 B1 A1 F10 C9 B11 C11 C10 D10 D9 E9;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 E8 F5 D6 D7 F6 E6 G5 H3 K2 G4 I4 K1 I2 I3 J2 J3 K3 J4 K4 J6 J5 I5 I6 H7 I7 I8 H8 G10 H9 H10 F9 E11 D10 G9 G8 D11 C11 I1 J1 E10 E9;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 E8 E5 F6 G4 H5 I4 H4 I2 H3 D11 H2 C10 F9 F10 B10 C9 B9 C8 B8 H9 C7 B11 A11 D7 D5 E2 D6 E6 E4 F2 G3 I1 H1 F3 F4;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 K10 I6 E8 F6 D7 E5 C6 D4 B5 C10 B10 C3 B4 B1 B3 C2 B2 C1 A2 A1 D5 E4 E6 F5 D6 C4 H5 I2 J2 K5 H6 H7 G6 F7 J6 J5;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 K10 E8 B9 B10 I6 H8 J7 I9 K8 H5 I4 I5 K4 J5 K5 J4 K3 J1 K9 K1 J3 H2 F3 G1 E2 H4 I3 H3 I2 I1 D9 D8 C9 C7 A8 B6 B7 C6 C8 D7 B8 A7 F6 E5 G4 F7 H6 G6;Test Model
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 K10 J6 E8 F6 D7 E5 C6 D11 D4 B10 C10 C9 D9 D8 E7 E1 F3 G1 F1 F2 E2 D6 C7 D5 C5 B11 C11 E3 D3;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 K10 J7 E8 D11 F6 G4 J3 J2 E5 E4 F4 G2 G3 F3 H2 E9 C10 D9 C9 D8 C8 D6 D7 E6 F5 E7 C6 C7 A8 B7 A7 B8 A9 B9 A10 B6 A6 F7 B5 A11 B10 D5 C5 B4 C4 D3 C3 D1 D2 E1 B2 D10 C11 C2 B3 C1 B1;Red
c:\Users\Timur\Downloads\hex\hexagony\testing_and_evaluating\..\mini_red_test\checkpoint-1551420_r_b;test_model;A3 G7 K10 J5 E7 D10 F8 F9 G8 G9 H8 H9 I8 C10 I9 H11 J10 F5 D6 E4 C5 D3 B4 B1 C2 H10 I10 F7 E8 E6 D7 E5 D5 F6 C4 C3 B3 C1 D1 I11 J11;Red
